"","lon","lat","t","m"
"262",-116.337,34.798,2.78006944444444,3.04
"263",-116.29,34.664,2.78208333333333,3.34
"264",-116.34,34.82,2.78677083333333,3.58
"265",-116.852,34.085,2.78693287037037,3.25
"266",-116.964,34.29767,2.78696759259259,3.35
"267",-116.19683,34.375,2.8887037037037,3.12
"268",-116.137,34.368,2.92394675925926,3.09
"269",-116.284,34.699,2.96614583333333,3.28
"270",-116.402,34.857,2.98168981481481,3.56
"271",-116.397,34.858,2.98229166666667,3.4
"272",-116.191,34.375,2.99847222222222,3.78
"273",-116.275,34.802,3.01728009259259,3.63
"274",-116.264,34.483,3.03561342592593,3.19
"275",-116.262,34.435,3.03572916666667,3.07
"276",-116.284,34.659,3.08265046296296,3.02
"277",-116.385,34.83,3.10494212962963,3.03
"278",-116.356,34.852,3.20300925925926,3.18
"279",-116.249,34.436,3.24966435185185,3.28
"280",-116.365,34.703,3.25837962962963,3
"281",-116.25,34.504,3.25945601851852,3.22
"282",-116.297,34.594,3.33210648148148,4.14
"283",-116.305,34.701,3.33236111111111,4.08
"284",-116.41,34.811,3.39530092592593,3
"285",-116.341,34.71,3.4025462962963,4.49
"286",-116.347,34.86,3.67001157407407,3.12
"287",-116.398,34.856,3.67195601851852,3.12
"288",-116.354,34.82,3.68237268518519,3.16
"289",-116.239,34.613,3.7150462962963,3.15
"290",-116.194,34.422,3.72971064814815,3.34
"291",-116.087,34.30867,3.7553125,3.09
"292",-116.265,34.483,3.81953703703704,3.48
"293",-116.289,34.591,3.89388888888889,3.11
"294",-116.281,34.603,3.92193287037037,3.55
"295",-116.339,34.651,3.96559027777778,3.1
"296",-116.252,34.513,3.97523148148148,3.23
"297",-116.354,34.668,3.97804398148148,3.39
"298",-116.301,34.595,3.9900462962963,3.02
"299",-116.232,34.596,3.9987037037037,3.56
"300",-116.232,34.593,4.00109953703704,3.98
"301",-116.284,34.603,4.07061342592593,3
"302",-116.253,34.569,4.24421296296296,3.21
